EKITI STATE GOVERNORSHIP ELECTION RESULTS 2026,,,,,,,,,,,,RESULT SUMMARY,,,,,,,
Results from Irev,,,,,,,,,,,,APC,PDP,ADC,LP,ACCORD,SDP,Total PU,PU Entered
Result by Polling Units,,,,,,,,,,,,00,00,00,00,00,00,2445,0
LGA,WARD,WARD CODE,POLLING UNITS,PU CODE,APC,PDP,ADC,LP,ACCORD,SDP,,,,,,,,,
ADO EKITI,ADO 'F' OKEYINMI,06,IN FRONT OF CHIEF ADELEYE'S HOUSE / OLURASA COMP.,004,,,,,,,,,,,,,,,
ADO EKITI,ADO 'F' OKEYINMI,06,IN FRONT OF ELEYINMI' S HOUSE ELEYINMI'S COMPOUND,005,,,,,,,,,,,,,,,
ADO EKITI,ADO 'F' OKEYINMI,06,IN FRONT OF CHIEF ADEPARUSI'S HOUSE / FEREBUTE,006,,,,,,,,,,,,,,,
ADO EKITI,ADO 'F' OKEYINMI,06,"L. A. PRY. SCH., OKEYINMI / OKEYINMI",007,,,,,,,,,,,,,,,
ADO EKITI,ADO 'F' OKEYINMI,06,IN FRONT OF OLD COUNCIL / ODOGUN AREA,008,,,,,,,,,,,,,,,
ADO EKITI,ADO 'F' OKEYINMI,06,"A. U. D. PRY. SCH., OKEYINMI / ODOFIN'S COMP.",009,,,,,,,,,,,,,,,
ADO EKITI,ADO 'F' OKEYINMI,06,"OPEN SPACE AT AROTOLAS AREA,OKEYINMI",010,,,,,,,,,,,,,,,
ADO EKITI,ADO 'F' OKEYINMI,06,"OPEN SPACE AT INIGBEPA GBOIN,GBOIN AREA",011,,,,,,,,,,,,,,,
ADO EKITI,ADO 'F' OKEYINMI,06,OPEN SPACE AT ODOGUN JUNCTION OKEYINMI,012,,,,,,,,,,,,,,,
ADO EKITI,ADO 'F' OKEYINMI,06,OPEN SPACE AT CHIEF ELEREBIS AREA OPP.MATERNITY CENTER OKEYINMI STREET BESIDE FIRST BANK,013,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,"IN FRONT OF LATE SARUMI'S HOUSE / ERIO, BALEMO AREA",001,,,,,,,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,"FEDERAL HOUSING ESTATE, OKE ILA / FEDERAL HOUSING ESTATE",002,,,,,,,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,IN FRONT OF ODURO'S COMP. / ODURO EDEMO COMP.,003,,,,,,,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,ST. ANDREW'S PRY SCH. / OLOWOPETU,004,,,,,,,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,ST. ANDEREW'S PRY. SCH. /BELLO BABA EGBE,005,,,,,,,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,IN FRONT OF PHILIP ESAN'S HOUSE / PHILIP ESAN,006,,,,,,,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,IN FRONT OF AKUNGBE PHILIPS / AKUNGBE OLORA COMP.,007,,,,,,,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,"MARY IMMACULATE PRY. SCH. / OGUNDIPE, OLORA, ELEMUKANSI",008,,,,,,,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,"IN FRONT OF ASALE'S HOUSE / ALARARORI, ASALE, SALIU COMP.",009,,,,,,,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,IN FRONT OF CHIEF IKA'S HOUSE / IKA VILLAGE,010,,,,,,,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,IN FRONT OF OLU'S PALACE / IRASA VILLAGE,011,,,,,,,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,IN FRONT OF CHIEF ILADO'S HOUSE / ILADO VILLAGE,012,,,,,,,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,IN FRONT OF ORETUYI'S HOUSE / ISO VILLAGE,013,,,,,,,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,OPEN SPACE AT IKEREOKO / IKEREOKO,014,,,,,,,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,PREMISES OF MARY HILL BOYS HIGH SCH. OKE ILA,015,,,,,,,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,OPEN SPACE OPPOSITE DIDE OLUWA INTERNATIONAL GROUP OF SCH. OKE ILA,016,,,,,,,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,"PREMISES OF COMMUNITY NUR & PRY SCH. ELEMI, AFAO ROAD",017,,,,,,,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,"OPEN SPACE AT IREWOLE JUNCTION OFF SUMMIT HOTEL, OKE ILA",018,,,,,,,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,"PREMISES OF STAFF NUR & PRY SCH. BALEMO, OKE ILA",019,,,,,,,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,"OPEN SPACE BESIDE RIGHT STEP VILLA, ONANLA JUNCTION, ONANLA",020,,,,,,,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,"PREMISES OF SURAJUDEEN N/P SCHOOL, IRASA COMMUNITY, IRASA",021,,,,,,,,,,,,,,,
ADO EKITI,ADO 'G' OKE ILA,07,"OPEN SPACE AT ALHAJI BABATUNDE ADEYANJU, OPPOSITE EBENEZER ANGLICAN CHURCH, OKE ILA",022,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,IN FRONT OF MAJOR ILUKUN'S HOUSE / ILUKUN COMP. AREA,001,,,,,,,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,IN FRONT OF ADERIYE'S HOUSE / ADELABU ADERIYE'S COMP.,002,,,,,,,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,IN FRONT OF FAMUJIMI'S HOUSE / FAMUJIMI OBATIMEHIN,003,,,,,,,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,IN FRONT OF FALEGAN'S HOUSE / FALEGAN AKINYEMI,004,,,,,,,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,"ELEYOWO MARKET / ODOBA, GIDADO",005,,,,,,,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,AT THE BACK OF JUBILEE HOTEL / ODUNDUN,006,,,,,,,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,"IN FRONT OF OLOGUNESE'S HOUSE /ELEYOWO, ORIMOLADE, OLOGUNESE",007,,,,,,,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,IN FRONT OF EJEMUA'S HOUSE / EJEMUA,008,,,,,,,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,"IN FRONT OF ADEYINKA'S HOUSE / ADEYINKA, JIMBA",009,,,,,,,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,"GRADE A COURT / ASAGIDIGBI, ADEBIYI, OGBON OBA, POST OFFICE",010,,,,,,,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,IN FRONT OF IBIKUNLE'S HOUSE / IBIKUNLE ABIODUN,011,,,,,,,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,BY THE LEFT SIDE OF OGUNLEYE'S HOUSE / OGUNLEYE,012,,,,,,,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,IN FRONT OF LAWAL'S HOUSE / OGBON ADO,013,,,,,,,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,"L. A. PRY. SCH. / AKOMOLEDE, EYEDOFIN, EYEBUSOLA",014,,,,,,,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,INFRONT OF FASULA'S HOUSE /FASULA,015,,,,,,,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,"AT THE BACK OF OMOSIO'S HOUSE / ALAFIA, EREGURU, OMOSIO",016,,,,,,,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,"IN FRONT OF AKINLUSI'S HOUSE / OJUMOSE, AKINLUSI",017,,,,,,,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,"AT THE BACK OF OKOLI'S HOUSE / OKE AGBE, OJUMOSE AREA",018,,,,,,,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,IN FRONT OF ELEGBIRA'S HOUSE / ELEGBIRA,019,,,,,,,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,"IN FRONT OF IGINLA'S HOUSE / IGINLA, ADEGBITE",020,,,,,,,,,,,,,,,
ADO EKITI,ADO 'H' EREGURU,08,"L. A. PRY SCH. / EYEDOFIN, EYEBUSOLA",021,,,,,,,,,,,,,,,
